CustomerID,Name,RegionCode,Segment,SignupDate
CUST0001,Customer_1,R07,SMB,2023-01-16
CUST0002,Customer_2,R04,Individual,2023-02-17
CUST0003,Customer_3,R08,Enterprise,2023-04-22
CUST0004,Customer_4,R05,Enterprise,2023-04-30
CUST0005,Customer_5,R07,SMB,2023-09-16
CUST0006,Customer_6,R10,Individual,2023-11-05
CUST0007,Customer_7,R03,Enterprise,2023-01-14
CUST0008,Customer_8,R07,SMB,2023-10-15
CUST0009,Customer_9,R08,Enterprise,2023-04-12
CUST0010,Customer_10,R05,Enterprise,2023-11-29
CUST0011,Customer_11,R04,Individual,2023-12-26
CUST0012,Customer_12,R08,Enterprise,2023-10-07
CUST0013,Customer_13,R08,Individual,2023-08-03
CUST0014,Customer_14,R03,Enterprise,2023-04-23
CUST0015,Customer_15,R06,SMB,2023-08-18
CUST0016,Customer_16,R05,Enterprise,2023-10-29
CUST0017,Customer_17,R02,Individual,2023-05-23
CUST0018,Customer_18,R08,Individual,2023-01-04
CUST0019,Customer_19,R06,SMB,2023-03-23
CUST0020,Customer_20,R02,Enterprise,2023-12-24
CUST0021,Customer_21,R05,Enterprise,2023-08-05
CUST0022,Customer_22,R01,SMB,2023-06-24
CUST0023,Customer_23,R10,Enterprise,2023-05-23
CUST0024,Customer_24,R06,Enterprise,2023-03-21
CUST0025,Customer_25,R09,Individual,2023-04-21
CUST0026,Customer_26,R01,Enterprise,2023-06-22
CUST0027,Customer_27,R10,Enterprise,2023-02-22
CUST0028,Customer_28,R03,SMB,2023-02-17
CUST0029,Customer_29,R07,SMB,2023-07-14
CUST0030,Customer_30,R04,Individual,2023-02-19
CUST0031,Customer_31,R09,Enterprise,2023-07-03
CUST0032,Customer_32,R03,Enterprise,2023-06-26
CUST0033,Customer_33,R05,Enterprise,2023-11-06
CUST0034,Customer_34,R03,Individual,2023-05-16
CUST0035,Customer_35,R07,Individual,2023-01-23
CUST0036,Customer_36,R05,SMB,2023-08-24
CUST0037,Customer_37,R09,Individual,2023-10-02
CUST0038,Customer_38,R07,Enterprise,2023-03-05
CUST0039,Customer_39,R02,Enterprise,2023-07-13
CUST0040,Customer_40,R04,Individual,2023-02-10
CUST0041,Customer_41,R09,Enterprise,2023-10-10
CUST0042,Customer_42,R02,Enterprise,2023-05-31
CUST0043,Customer_43,R10,Individual,2023-11-18
CUST0044,Customer_44,R09,Individual,2023-11-13
CUST0045,Customer_45,R10,Enterprise,2023-07-05
CUST0046,Customer_46,R05,Enterprise,2023-10-23
CUST0047,Customer_47,R02,Enterprise,2023-04-09
CUST0048,Customer_48,R04,SMB,2023-12-27
CUST0049,Customer_49,R07,SMB,2023-02-05
CUST0050,Customer_50,R08,SMB,2023-01-24
CUST0051,Customer_51,R03,Individual,2023-12-05
CUST0052,Customer_52,R01,SMB,2023-04-27
CUST0053,Customer_53,R04,Individual,2023-05-29
CUST0054,Customer_54,R02,Individual,2023-02-10
CUST0055,Customer_55,R08,SMB,2023-04-30
CUST0056,Customer_56,R04,SMB,2023-02-21
CUST0057,Customer_57,R02,SMB,2023-07-14
CUST0058,Customer_58,R06,Enterprise,2023-05-23
CUST0059,Customer_59,R06,SMB,2023-08-21
CUST0060,Customer_60,R10,Enterprise,2023-11-22
CUST0061,Customer_61,R04,Individual,2023-07-06
CUST0062,Customer_62,R06,Enterprise,2023-03-25
CUST0063,Customer_63,R02,SMB,2023-07-09
CUST0064,Customer_64,R10,Individual,2023-07-01
CUST0065,Customer_65,R02,Individual,2023-04-18
CUST0066,Customer_66,R10,Individual,2023-12-10
CUST0067,Customer_67,R04,Enterprise,2023-05-17
CUST0068,Customer_68,R08,SMB,2023-12-26
CUST0069,Customer_69,R07,Individual,2023-12-16
CUST0070,Customer_70,R09,Individual,2023-11-28
CUST0071,Customer_71,R08,Individual,2023-02-06
CUST0072,Customer_72,R05,Enterprise,2023-11-08
CUST0073,Customer_73,R02,Enterprise,2023-11-22
CUST0074,Customer_74,R05,SMB,2023-03-29
CUST0075,Customer_75,R08,Enterprise,2023-10-01
CUST0076,Customer_76,R10,Individual,2023-05-06
CUST0077,Customer_77,R09,SMB,2023-03-25
CUST0078,Customer_78,R09,Individual,2023-08-25
CUST0079,Customer_79,R01,Individual,2023-07-14
CUST0080,Customer_80,R09,Enterprise,2023-05-19
CUST0081,Customer_81,R07,SMB,2023-11-24
CUST0082,Customer_82,R09,Enterprise,2023-12-19
CUST0083,Customer_83,R08,Enterprise,2023-10-13
CUST0084,Customer_84,R01,SMB,2023-04-23
CUST0085,Customer_85,R08,Individual,2023-12-17
CUST0086,Customer_86,R08,Individual,2023-06-16
CUST0087,Customer_87,R03,SMB,2023-01-29
CUST0088,Customer_88,R01,Individual,2023-04-28
CUST0089,Customer_89,R08,SMB,2023-01-17
CUST0090,Customer_90,R03,SMB,2023-06-11
CUST0091,Customer_91,R03,Enterprise,2023-07-25
CUST0092,Customer_92,R01,SMB,2023-05-18
CUST0093,Customer_93,R05,Enterprise,2023-02-03
CUST0094,Customer_94,R10,Individual,2023-04-19
CUST0095,Customer_95,R07,Individual,2023-10-18
CUST0096,Customer_96,R10,Individual,2023-06-11
CUST0097,Customer_97,R09,Individual,2023-04-19
CUST0098,Customer_98,R07,Enterprise,2023-12-02
CUST0099,Customer_99,R09,Individual,2023-09-13
CUST0100,Customer_100,R08,SMB,2023-07-22
